Rank,Country,Happiness Score,Dystopia,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Generosity,Perceptions of Corruption
88,Côte d'Ivoire,5235,2652,1094,442,322,451,149,124
89,North Macedonia,5199,1461,1505,863,637,488,215,31
90,Albania,5199,1718,1439,646,719,511,138,28
91,South Africa,5194,1742,1425,1088,361,442,89,46
92,Azerbaijan,5173,1098,1458,1093,560,601,23,341
93,Gambia,5164,2531,785,621,369,367,388,103
94,Bangladesh,5155,1967,1060,614,581,622,125,187
95,Laos,5140,1709,1239,654,479,679,197,184
96,Algeria,5122,1744,1363,970,643,146,106,150
97,Liberia,5122,2844,636,670,309,405,178,80
98,Ukraine,5084,1331,1411,1081,583,473,188,17
99,Dem. Rep. Congo,5075,2658,950,405,355,431,130,146
100,Morocco,5060,2405,1208,268,565,492,20,102
101,Mozambique,5048,2641,578,660,191,593,185,200
102,Cameroon,5048,2469,968,672,317,397,152,74
103,Senegal,5046,2419,933,530,447,494,143,81
104,Niger,5003,2667,570,560,326,571,165,145
105,S. Geo. and the Is.,4973,1583,1467,612,595,508,0,208
106,Gabon,4958,1892,1459,737,396,343,32,99
107,Iraq,4941,1894,1289,682,554,328,147,46
108,Venezuela,4925,2790,0,968,578,283,225,82
109,Papua New Guinea,4891,2538,848,566,275,334,214,116
110,Iran,4888,1427,1410,741,642,281,241,146
111,Ghana,4872,1972,1112,595,409,500,230,56
112,Turkey,4744,1059,1707,865,702,209,87,115
113,Burkina Faso,4670,2313,779,565,320,382,186,126
114,Cambodia,4640,1410,1019,732,505,740,166,68
115,Benin,4623,2458,932,64,335,479,127,230
116,Comoros,4609,2304,899,476,424,185,195,125
117,Uganda,4603,1842,777,875,418,402,222,66
118,Nigeria,4552,1784,1079,732,300,444,175,38
119,Kenya,4543,1661,1032,605,401,440,322,82
120,Tunisia,4516,1540,1350,596,656,316,29,29
121,Pakistan,4516,1940,1049,413,374,448,181,112
122,Palestine,4483,1368,1148,957,521,336,73,79
123,Mali,4479,2373,792,483,311,350,128,42
124,Namibia,4459,1414,1292,877,354,384,67,71
125,eSwatini,4396,1688,1274,786,197,259,38,154
126,Myanmar,4394,877,1038,829,491,513,452,194
127,Sri Lanka,4362,595,1415,934,660,529,150,79
128,Madagascar,4339,2148,670,645,378,202,143,154
129,Egypt,4288,856,1388,732,548,469,41,254
130,Chad,4251,2419,662,506,225,180,182,77
131,Ethiopia,4241,1375,788,809,457,472,205,136
132,Yemen,4197,1561,691,1043,384,330,90,98
133,Mauritania,4153,1207,1100,865,450,304,88,138
134,Jordan,4152,695,1324,724,675,476,58,200
135,Togo,4112,2061,771,322,360,292,174,132
136,India,3777,795,1167,376,471,647,198,123
137,Zambia,3760,1135,930,577,306,525,203,83
138,Malawi,3750,1661,648,279,388,477,140,157
139,Tanzania,3702,735,848,597,425,578,248,270
140,Sierra Leone,3574,1556,686,416,273,387,202,55
141,Lesotho,3512,1312,839,848,0,419,76,18
142,Botswana,3471,187,1503,815,280,571,12,102
143,Rwanda,3268,536,785,133,462,621,187,544
144,Zimbabwe,2995,548,947,690,270,329,106,105
145,Lebanon,2955,216,1392,498,631,103,82,34
146,Afghanistan,2404,1263,758,0,289,0,89,5
